Symbol,Price,Company name
NSE:NATIONALUM,115.4,National Aluminium Company Limited
NSE:ALLCARGO,283.25,Allcargo Logistics Limited
NSE:MAITHANALL,1121.3,Maithan Alloys Limited
NSE:GAL,2.4,Gyscoal Alloys Limited
NSE:ALMONDZ-EQ,NaN,ALMONDZ GLOBAL SEC INR6
NSE:ALPA,53.85,Alpa Laboratories Limited
NSE:ALKEM-EQ,NaN,ALKEM LAB LTD INR2
NSE:ESSDEE,NaN,Ess Dee Aluminium Limited
NSE:MANAKALUCO,20.2,MANAKSIA ALUMINIUM INR1
NSE:ALPHAGEO-EQ,NaN,ALPHAGEO (INDIA) LIMITED
NSE:ALPSINDUS-EQ,NaN,ALPS INDUSTRIES LIMITED
NSE:MAANALU,143,Maan Aluminium Limited
NSE:ALCHEM,3.15,Alchemist Limited
NSE:PARAL-BZ,NaN,PAREKH ALUM. LTD
NSE:ALKALI-EQ,NaN,ALKALI METALS LIMITED
NSE:ALPA-BE,NaN,ALPA LABORATORIES INR10
NSE:SHAHALLOYS-BE,NaN,SHAH ALLOYS INR10
NSE:ALPSINDUS,3.75,Alps Industries Limited
NSE:ALANKIT-EQ,NaN,ALANKIT LIMITED INR1
NSE:ALPINEHOU-BE,NaN,ALPINEHOU-BE.NS
NSE:ALKYLAMINE,4007.75,Alkyl Amines Chemicals Limited
NSE:METKORE-EQ,NaN,METKORE ALLOYS & INDUSTRIES LIM
NSE:ALPHAGEO,439.15,Alphageo (India) Limited
NSE:ALSTOMT&D,NaN,GE T&D India Limited
NSE:GAEL,178.35,Gujarat Ambuja Exports Limited
NSE:BANARISUG,2367,Bannari Amman Sugars Limited
NSE:AMTEKAUTO,NaN,Amtek Auto Limited
NSE:AMBIKCO,1991.1,Ambika Cotton Mills Limited
NSE:ASIL-EQ,NaN,AMIT SPINNING IND INR5.00
NSE:ASIL-BE,NaN,ASIL-BE.NS
NSE:BASML-EQ,NaN,BANNARI AMMAN SPIN INR10
NSE:AMRUTANJAN-EQ,NaN,AMRUTANJAN HEALTH CARE LIMITED
NSE:AMTEKINDIA-BE,NaN,AMTEK INDIA LIMITED
NSE:BASML,61.7,Bannari Amman Spinning Mills Limited
NSE:ASIL,NaN,Amit Spinning Industries Limited
NSE:AMBUJACEM,412.8,Ambuja Cements Limited
NSE:AMTEKINDI,NaN,Castex Technologies Limited
NSE:AMDIND,33.85,AMD Industries Limited
NSE:AMARAJABAT-EQ,NaN,AMARA RAJA BATTERI INR1
NSE:AMRUTANJAN,962.4,Amrutanjan Health Care Limited
NSE:GAEL-EQ,NaN,GUJARAT AMBUJA EXPORTS LIMITED
NSE:BALAMINES,4504,Balaji Amines Limited
NSE:AMARAJABAT,749.9,Amara Raja Batteries Limited
NSE:AMTL-EQ,NaN,ADVANCE METERING T INR5
NSE:AMRUTANJAN-BE,NaN,AMRUTANJAN HEALTH INR2
NSE:AMLSTEEL-BE,NaN,AMLSTEEL-BE.NS
NSE:MRPL,52.25,Mangalore Refinery and Petrochemicals Limited
NSE:LOTUSEYE,43.65,Lotus Eye Hospital and Institute Limited
NSE:IOLCP,611,IOL Chemicals and Pharmaceuticals Limited
NSE:ANSALAPI,11,Ansal Properties & Infrastructure Limited
NSE:ANIKINDS,22.3,Anik Industries Limited
NSE:ANANTRAJ,73.1,Anant Raj Limited
NSE:ANANDAMRUB,NaN,The Anandam Rubber Company Limited
NSE:DALMIASUG-EQ,NaN,DALMIA BHARAT SUGAR AND INDUSTR
NSE:CYBERTECH-EQ,NaN,CYBERTECH SYSTEMS AND SOFTWARE
NSE:LAKSHMIEFL-EQ,NaN,LAKSHMI ENERGY & F INR2
NSE:EUROTEXIND-EQ,NaN,EUROTEX INDUSTRIES INR10
NSE:DALMIASUG,453,Dalmia Bharat Sugar and Industries Limited
NSE:GOKUL-EQ,NaN,GOKUL REFOILS AND SOLVENT LIMIT
NSE:ANDHRABANK,NaN,Andhra Bank
NSE:HELIOSMATH-EQ,NaN,HELIOS AND MATHESON INFORMATION
NSE:ANDHRACEMT,15.75,Andhra Cements Limited
NSE:HCIL-EQ,NaN,HIMADRI CHEMICALS AND INDUSTRIE
NSE:SESHAPAPER,184.5,Seshasayee Paper and Boards Limited
NSE:ANSALAPI-EQ,NaN,ANSAL PROPERTIES & INFRASTRUCTU
NSE:RCF,83.9,Rashtriya Chemicals And Fertilizers Limited
NSE:TAINWALCHM,76.95,Tainwala Chemicals and Plastics (India) Limited
NSE:EUROTEXIND,13.55,Eurotex Industries and Exports Limited
NSE:ANANDAMRUB-EQ,NaN,THE ANANDAM RUBBER INR10
NSE:SHK-EQ,NaN,S H KELKAR AND COM INR10
NSE:MADHAV,61.05,Madhav Marbles and Granites Limited
NSE:ANTGRAPHIC,0.75,Antarctica Limited
NSE:SUTLEJTEX,68.65,Sutlej Textiles and Industries Limited
NSE:HELIOSMATH,NaN,helios and matheson information technology limited
NSE:ASAL-EQ,NaN,AUTOMOTIVE STAMPINGS AND ASSEMB
NSE:IOLCP-EQ,NaN,IOL CHEMICALS AND PHARMACEUTICA
NSE:HDIL-EQ,NaN,HOUSING DEVELOPMENT AND INFRAST
NSE:HITACHIHOM-EQ,NaN,HITACHI HOME AND LIFE SOLUTIONS
NSE:ANDHRSUGAR-EQ,NaN,THE ANDHRA SUGARS LIMITED
NSE:ANKITMETAL,3,Ankit Metal & Power Limited
NSE:DEEPAKFERT-EQ,NaN,DEEPAK FERTILIZERS AND PETROCHE
NSE:BALMLAWRIE,131.65,Balmer Lawrie & Co. Limited
NSE:CHOLAFIN-EQ,NaN,CHOLAMANDALAM INVESTMENT AND FI
NSE:ANIKINDS-BE,NaN,ANIK INDUSTRIES INR10
NSE:MANGALAM-EQ,NaN,MANGALAM DRUGS & O INR10
NSE:CHOLAFIN,607.1,Cholamandalam Investment and Finance Company Limited
NSE:VETO,118,Veto Switchgears and Cables Limited
NSE:PGHH,13921.6,Procter & Gamble Hygiene and Health Care Limited
NSE:ANTGRAPHIC-BE,NaN,ANTARCTICA LIMITED
NSE:TGBHOTELS-EQ,NaN,TGB BANQUETS AND H INR10(DEMAT)
NSE:SFCL-EQ,NaN,STAR FERRO AND CEM INR1
NSE:KEMROCK-EQ,NaN,KEMROCK INDUSTRIES INR10
NSE:SDBL,47,Som Distilleries & Breweries Limited
NSE:ANDHRACEMT-EQ,NaN,ANDHRA CEMENTS INR10
NSE:OISL,1.85,OCL Iron & Steel Limited
NSE:DEEPAKFERT,444.5,Deepak Fertilisers And Petrochemicals Corporation Limited
NSE:ANSALHSG,6.5,Ansal Housing & Construction Limited
NSE:MRPL-EQ,NaN,MANGALORE REFINERY AND PETROCHE
NSE:MONNETISPA,NaN,Monnet Ispat and Energy Limited
NSE:SUTLEJTEX-EQ,NaN,SUTLEJ TEXTILES AND INDUSTRIES
NSE:OISL-EQ,NaN,OCL IRON AND STEEL LIMITED
NSE:ANTGRAPHIC-EQ,NaN,ANTARCTICA LIMITED INR1
NSE:FACT-EQ,NaN,FERTILIZERS AND CHEMICALS TRAVA
NSE:SURANAT&P,10.5,Surana Telecom and Power Limited
NSE:PIPAVAVDOC,NaN,RELIANCE DEFENCE AND ENGINEERIN
NSE:ANDHRSUGAR,667.9,The Andhra Sugars Limited
NSE:EMKAYTOOLS-SM,NaN,EMKAY TAPS AND CUT INR10
NSE:GPIL-EQ,NaN,GODAWARI POWER AND ISPAT LIMITE
NSE:CARERATING,704.9,CARE Ratings Limited
NSE:SFCL,NaN,Star Ferro and Cement Limited
NSE:ANGIND,NaN,ANG Industries Limited
NSE:SANGHVIFOR,NaN,Sanghvi Forging & Engineering Limited
NSE:BLKASHYAP,29.35,B.L. Kashyap and Sons Limited
NSE:COX&KINGS,1.6,Cox & Kings Limited
NSE:ANGIND-EQ,NaN,ANG INDUSTRIES LTD INR10
NSE:TGBHOTELS,12.05,TGB Banquets And Hotels Limited
NSE:JPOLYINVST-EQ,NaN,JINDAL POLY INV & INR10
NSE:TEXMOPIPES-EQ,NaN,TEXMO PIPES & PROD INR10
NSE:CARERATING-EQ,NaN,CREDIT ANALYSIS AND RESEARCH LI
NSE:WELINV,321.8,Welspun Investments and Commercials Limited
NSE:APTECHT,307.5,Aptech Limited
NSE:APOLSINHOT,886.55,Apollo Sindoori Hotels Limited
NSE:APLAPOLLO,838.7,APL Apollo Tubes Limited
NSE:APARINDS,708.15,Apar Industries Limited
NSE:ELAND,NaN,E-Land Apparel Limited
NSE:MOMAI-SM,NaN,MOMAI APPARELS LTD INR10
NSE:APCOTEXIND-EQ,NaN,APCOTEX INDUSTRIES LIMITED
NSE:APOLLOHOSP-EQ,NaN,APOLLO HOSPITALS INR5
NSE:APOLLOTYRE,241.7,Apollo Tyres Limited
NSE:APCOTEXIND,423.75,Apcotex Industries Limited
NSE:APOLLOHOSP,4392,Apollo Hospitals Enterprise Limited
NSE:BUTTERFLY,998.9,Butterfly Gandhimathi Appliances Limited
NSE:APOLLOTYRE-EQ,NaN,APOLLO TYRES INR1.00
NSE:APOLSINHOT-BE,NaN,Apollo Sindoori Hotels Li
NSE:GUJAPOLLO,213.35,Gujarat Apollo Industries Limited
NSE:APOLSINHOT-EQ,NaN,APOLLO SINDOORI HO INR10
NSE:IPAPPM-EQ,NaN,INTERNATIONAL PAPE INR10
NSE:ELAND-EQ,NaN,E-LAND APPAREL LTD INR10
NSE:PANASONIC,NaN,Panasonic Appliances India Company Limited
NSE:APLAB-BE,NaN,APLAB-BE.NS
NSE:ARSHIYA,35.6,Arshiya Limited
NSE:ARSSINFRA,30.7,ARSS Infrastructure Projects Limited
NSE:ARIHANT,26.2,Arihant Foundations & Housing Limited
NSE:ARCHIES,18.35,Archies Limited
NSE:ARCHIDPLY,32.75,Archidply Industries Limited
NSE:THIRUSUGAR,NaN,Thiru Arooran Sugars Limited
NSE:ARIHANT-EQ,NaN,ARIHANT FOUNDATION INR10(DEMAT)
NSE:ARVINDREM-EQ,NaN,ARVIND REMEDIES LIMITED
NSE:INTELLECT-EQ,NaN,INTELLECT DESIGN A INR5
NSE:MUKTAARTS-EQ,NaN,MUKTA ARTS LIMITED
NSE:GILLANDERS-EQ,NaN,GILLANDERS ARBUTHN INR10
NSE:ARVINFRA-EQ,NaN,ARVIND INFRASTRUCT INR10
NSE:ARVINDREM-BZ,NaN,ARVIND REMEDIES LIMITED
NSE:ARVINFRA-BE,NaN,ARVIND INFRASTRUCT INR10
NSE:AROGRANITE,63.7,Aro Granite Industries Limited
NSE:ARROWCOAT-EQ,NaN,ARROW GREENTECH LI INR10
NSE:ARVINDREM,NaN,Arvind Remedies Limited
NSE:INTELLECT,717,Intellect Design Arena Limited
NSE:ARCOTECH,2.2,Arcotech Limited
NSE:ARVIND,123.3,Arvind Limited
NSE:ARCHIES-EQ,NaN,ARCHIES LIMITED
NSE:MUKTAARTS,40.95,Mukta Arts Limited
NSE:ARROWCOAT,NaN,ARROW GREENTECH LI INR10
NSE:ARVINFRA,NaN,Arvind SmartSpaces Limited
NSE:AROGRANITE-EQ,NaN,ARO GRANITE INDUS INR10
NSE:ARROWTEX-EQ,NaN,ARROW TEXTILES LTD INR10
NSE:ARROWTEX,NaN,Arrow Textiles Limited
NSE:GILLANDERS,56.6,Gillanders Arbuthnot and Company Limited
NSE:ARCOTECH-EQ,NaN,ARCOTECH LTD INR10
NSE:ASIANPAINT,3246.05,Asian Paints Limited
NSE:ASTEC,1278.95,Astec LifeSciences Limited
NSE:ASSAMCO,NaN,Assam Company India Limited
NSE:ASAL,90.05,Automotive Stampings and Assemblies Limited
NSE:EIHAHOTELS,424.15,EIH Associated Hotels Limited
NSE:BSLNIFTY-EQ,NaN,BIRLA SUN LIFE ASS NIFTY GROWTH
NSE:ASIANHOTNR,89.55,Asian Hotels (North) Limited
NSE:DWSHYD13GP-MF,NaN,DEUTSCHE ASSET MGM DWS HYBRID F
NSE:ASHAPURMIN,123.25,Ashapura Minechem Limited
NSE:ASTRAMICRO,208,Astra Microwave Products Limited
NSE:DWSFMP66RG-MF,NaN,DEUTSCHE ASSET MGM DWS FMP SR 6
NSE:ASIANELEC-BZ,NaN,ASIAN ELECTRONIC LTD
NSE:H37131JDG2-MF,NaN,HDFC ASSET MANAGEM FMP 371D JUN
NSE:UTIFEFRGR2-MF,NaN,UTI ASSET MANAGEME FOCUS EQTY I
NSE:BSLCAP19RG-MF,NaN,BIRLA SUN LIFE ASS CAPITAL PRT
NSE:SMCSRVRD-MF,NaN,SUNDARAM ASSET MAN MICRO CAP V
NSE:BSLRGES1RD-MF,NaN,BIRLA SUN LIFE ASS SERIES 1-REG
NSE:ASHAPURMIN-EQ,NaN,ASHAPURA MINE CHEM INR2
NSE:HRGESSRG1-MF,NaN,HDFC ASSET MANAGEM SR 1-FEB 201
NSE:ASTRAZEN,3131.55,AstraZeneca Pharma India Limited
NSE:H37027ARG4-MF,NaN,HDFC ASSET MANAGEM FMP 370D AUG
NSE:ASTRAL,2326.9,Astral Poly Technik Limited
NSE:JPASSOCIAT,10.25,Jaiprakash Associates Limited
NSE:ASAHIINDIA-EQ,NaN,ASAHI INDIA GLASS INR1
NSE:HRGESSRD1-MF,NaN,HDFC ASSET MANAGEM SR 1-FEB 201
NSE:IDR1AGD-MF,NaN,IDBI ASSET MGMT SR I PLAN A-GRO
NSE:INFRABEES,553.19,RELIANCE NIPPON LI RELIANCE ETF
NSE:MC6RD-MF,NaN,SUNDARAM ASSET MAN SELECT MICRO
NSE:KOTAKNIFTY-EQ,NaN,KOTAK MAHINDRA ASS KOTAK NIFTY
NSE:ASAHISONG,352.25,Asahi Songwon Colors Limited
NSE:ASHIANA,187.35,Ashiana Housing Limited
NSE:SMCSRVRG-MF,NaN,SUNDARAM ASSET MAN MICRO CAP V
NSE:SMCSRVIRG-MF,NaN,SUNDARAM ASSET MAN MICRO CAP VI
NSE:SHRIASTER-EQ,NaN,SHRI ASTER SILICAT INR10
NSE:SC3RG-MF,NaN,SUNDARAM ASSET MAN SELECT SMALL
NSE:ASIANHOTNR-EQ,NaN,ASIAN HOTELS(NORTH INR10
NSE:ASHIMASYN,19.5,Ashima Limited
NSE:ASHIMASYN-EQ,NaN,ASHIMA INR10
NSE:IDR1ADP-MF,NaN,IDBI ASSET MGMT SR I PLAN A-DIV
NSE:ASIANTILES,151,Asian Granito India Limited
NSE:ASTEC-EQ,NaN,ASTEC LIFESCIENCES LIMITED
NSE:BSLFTPLLRG-MF,NaN,BIRLA SUN LIFE ASS FIXED TERM P
NSE:SHRIASTER,NaN,Shri Aster Silicates Limited
NSE:ASAHISONG-BE,NaN,ASAHI SONGWON COLO INR10
NSE:549-MF,NaN,SUNDARAM ASSET MAN TOP 100 III(
NSE:ASAHIINDIA,386.75,Asahi India Glass Limited
NSE:BSLRGES1RG-MF,NaN,BIRLA SUN LIFE ASS SERIES 1-REG
NSE:ASHOKA,120,Ashoka Buildcon Limited
NSE:ATUL,10658.45,Atul Ltd
NSE:ATULAUTO-EQ,NaN,ATUL AUTO LTD INR5
NSE:ATNINTER-EQ,NaN,ATN INTERNATIONAL INR4.00
NSE:ATLASCYCLE,28.85,Atlas Cycles (Haryana) Limited
NSE:ATNINTER,0.2,ATN International Ltd.
NSE:ATULAUTO,241.1,Atul Auto Limited
NSE:ATLANTA,13.45,Atlanta Limited
NSE:ATNINTER-BE,NaN,ATNINTER-BE.NS
NSE:BAJAJ-AUTO,3935.75,Bajaj Auto Limited
NSE:MUNJALAU,61.95,Munjal Auto Industries Limited
NSE:AUTOLITIND,15.5,Autolite (India) Limited
NSE:CLUTCHAUTO-EQ,NaN,CLUTCH AUTO INR10
NSE:AUSOMENT-BE,NaN,AUSOM ENTERPRISE INR10
NSE:PPAP,260.4,PPAP Automotive Limited
NSE:LUMAXTECH,144.5,Lumax Auto Technologies Limited
NSE:AURIONPRO-EQ,NaN,AURIONPRO SOLUTIONS LIMITED
NSE:INDIGO,2067.25,InterGlobe Aviation Limited
NSE:AVTNPL,89.75,AVT Natural Products Limited
NSE:AVANTIFEED-EQ,NaN,AVANTI FEEDS INR2
NSE:AVANTIFEED,567.25,AVANTI FEEDS INR2
NSE:AVTNPL-EQ,NaN,AVT NATURAL PRODUCTS LIMITED
NSE:INDIGO-EQ,NaN,INTERGLOBE AVIATIO INR10
NSE:AXISBANK,807.05,Axis Bank Limited
NSE:AXISBANK-IL,NaN,AXIS BANK INR2
NSE:AXISCADES,95.25,AXISCADES Engineering Technologies Limited
NSE:AXISCADES-EQ,NaN,AXISCADES ENGINEER INR10
NSE:AXISGOLD,41,Axis Gold ETF
NSE:AUTOAXLES,1387.05,Automotive Axles Limited
NSE:AYMSYNTEX,110.2,AYM Syntex Limited
NSE:ICICIBANK,746.3,ICICI Bank Limited
NSE:CANBK,197.8,Canara Bank
NSE:BALLARPUR,1.25,Ballarpur Industries Limited
NSE:INDIANB,171.75,Indian Bank
NSE:IDFCBANK,NaN,IDFC Bank Limited
NSE:HDFCBANK,1677.3,HDFC Bank Limited
NSE:INDUSINDBK-EQ,NaN,INDUSIND BANK INR10
NSE:BASF,3730,BASF India Limited
NSE:BAJAJCORP,NaN,Bajaj Corp Limited
NSE:BAGFILMS,3.15,B.A.G. Films and Media Limited
NSE:BAFNAPHARM,NaN,Bafna Pharmaceuticals Limited
NSE:BAJAJFINS,NaN,BAJAJ FINSERV LIMITED
NSE:BANKBEES,399.5,Goldman Sachs Bank BeES ETF
NSE:PSB-EQ,NaN,PUNJAB & SIND BANK
NSE:BAJAJ-AUTO-EQ,NaN,BAJAJ AUTO LTD INR10
NSE:PSUBNKBEES,30.35,Goldman Sachs PSU Bank BeES ETF
NSE:ORIENTBANK,NaN,Oriental Bank of Commerce
NSE:BAJFINANCE,7878.8,Bajaj Finance Limited
NSE:BVCL-EQ,NaN,BARAK VALLEY CEMEN INR10
NSE:BBL,1383.55,Bharat Bijlee Limited
NSE:BBTC-EQ,NaN,BOMBAY BURMAH TRADING CORPORATI
NSE:BBL-EQ,NaN,BHARAT BIJLEE LIMITED
NSE:BBTC,1152.5,"The Bombay Burmah Trading Corporation, Limited"
NSE:BDR-IT,NaN,BDR Buildcon Limited
NSE:BDR,NaN,BDR Buildcon Limited
NSE:BDR-EQ,NaN,BDR BUILDCON LTD INR10
NSE:BEML,1689.9,BEML Limited
NSE:MANPASAND,NaN,Manpasand Beverages Limited
NSE:PSUBNKBEES-EQ,NaN,GOLDMAN SACHS PS PSU BANK BENCH
NSE:FAGBEARING,NaN,Schaeffler India Limited
NSE:BEDMUTHA-EQ,NaN,BEDMUTHA INDUSTRIES LIMITED
NSE:BEML-EQ,NaN,BEML LIMITED
NSE:BEPL-EQ,NaN,BHANSALI ENGINEERING POLYMERS L
NSE:SHARIABEES-EQ,NaN,BENCHMARK MUTUAL SHARIAH BENCHM
NSE:TALWALKARS,NaN,Talwalkars Better Value Fitness Limited
NSE:HNGSNGBEES-EQ,NaN,RELIANCE NIPPON LI RELIANCE ETF
NSE:TATAGLOBAL,NaN,Tata Global Beverages Limited
NSE:BEDMUTHA,54,Bedmutha Industries Limited
NSE:FAGBEARING-EQ,NaN,FAG BEARINGS INDIA LIMITED
NSE:BERGEPAINT,836.7,Berger Paints India Limited
NSE:BEARDSELL-EQ,NaN,BEARDSELL LTD INR2
NSE:NIBL-EQ,NaN,NRB INDUSTRIAL BEA INR2
NSE:MANPASAND-EQ,NaN,MANPASAND BEVERAGE INR10
NSE:BEARDSELL-IL,NaN,BEARDSELL LTD INR10
NSE:BERGEPAINT-EQ,NaN,BERGER PAINTS (I) LIMITED
NSE:NRBBEARING,146.45,NRB Bearings Limited
NSE:JUNIORBEES-EQ,NaN,NIFTY JR BENCHMARK ETF
NSE:ORIENTBELL-EQ,NaN,ORIENT BELL LIMITED
NSE:NIBL,28.5,NRB Industrial Bearings Limited
NSE:BEARDSELL-BE,NaN,BEARDSELL LTD INR10
NSE:NIBL-BE,NaN,NRB INDUSTRIAL BEA INR2
NSE:BEARDSELL-BL,NaN,BEARDSELL LTD INR10
NSE:MENONBE,84,Menon Bearings Limited
NSE:BANKBEES-EQ,NaN,BENCHMARK BANKBEES
NSE:BEL,218.4,Bharat Electronics Limited
NSE:NIFTYBEES,198.88,Goldman Sachs Nifty BeES ETF
NSE:LIQUIDBEES,1000.01,Goldman Sachs Liquid BeES ETF
NSE:SHARIABEES,456.74,Goldman Sachs Shariah BeES ETF
NSE:GOLDBEES,41.03,Goldman Sachs Gold BeES ETF
NSE:BANARBEADS,79.15,Banaras Beads Limited
NSE:BEARDSELL-RL,NaN,BEARDSELL LTD INR10
NSE:HNGSNGBEES,324,Goldman Sachs Hang Seng BeES ETF
NSE:BFUTILITIE,465.75,BF Utilities Limited
NSE:BFINVEST,378.1,BF Investment Limited
NSE:SQSBFSI-EQ,NaN,SQS INDIA BFSI LTD INR10
NSE:SQSBFSI,NaN,SQS India BFSI Limited
NSE:BGRENERGY,73.35,BGR Energy Systems Limited
NSE:BGLOBAL-EQ,NaN,BHARATIYA GLOBAL INFOMEDIA LIMI
NSE:BGRENERGY-EQ,NaN,BGR ENERGY SYSTEMS LIMITED
NSE:BGLOBAL-BE,NaN,BHARATIYA GLOBAL I INR10
NSE:BGLOBAL,2.7,Bharatiya Global Infomedia Limited
NSE:INFRATEL,NaN,Bharti Infratel Limited
NSE:BHEL,74.4,Bharat Heavy Electricals Limited
NSE:INFRATEL-EQ,NaN,BHARTI INFRATEL LIMITED
NSE:BHAGYNAGAR-EQ,NaN,BHAGYANAGAR INDIA INR2
NSE:BHARTISHIP,NaN,BHARATI SHIPYARD LTD.
NSE:BHARATFORG,805.1,Bharat Forge Limited
NSE:BIL-EQ,NaN,BHARTIYA INTERNATIONAL LIMITED
NSE:DALMIABHA,NaN,Dalmia Bharat Limited
NSE:BHARTISHIP-BZ,NaN,BHARATI SHIPYARD LTD.
NSE:BHARATGEAR,178.55,Bharat Gears Limited
NSE:JAYBARMARU,217.1,Jay Bharat Maruti Limited
NSE:BHAGERIA,299,BHAGERIA INDUSTRIE INR5
NSE:BHARATIDIL,NaN,Bharati Defence And Infrastructure Limited
NSE:BHARATRAS,12150,Bharat Rasayan Limited
NSE:BEPL,201.7,Bhansali Engineering Polymers Limited
NSE:BHARATWIRE,65.4,Bharat Wire Ropes Limited
NSE:BIL,225.35,Bhartiya International Limited
NSE:NBVENTURES,126.55,Nava Bharat Ventures Limited
NSE:BHAGYNAGAR,NaN,Bhagyanagar India Limited
NSE:BHUSANSTL-EQ,NaN,BHUSHAN STEEL LIMITED
NSE:BHUSANSTL,NaN,Bhushan Steel Limited
NSE:BIOCON,342.25,Biocon Limited
NSE:CELESTIAL,NaN,Celestial Biolabs Limited
NSE:BILENERGY-EQ,NaN,BIL ENERGY SYSTEMS INR1
NSE:BIRLACOT-BE,NaN,BIRLA COTSYN (INDI INR1
NSE:NATHBIOGEN-EQ,NaN,NATH BIO-GENES (IN INR10
NSE:BINDALAGRO-EQ,NaN,OSWAL GREENTECH LI INR10
NSE:BSLNIFTY,209,Birla Sun Life Nifty ETF
NSE:STERLINBIO,NaN,Sterling Biotech Limited
NSE:NATHBIOGEN,325.35,Nath Bio-Genes (India) Limited
NSE:BIRLAPOWER-BZ,NaN,BIRLA POWER SOL. LTD
NSE:BINDALAGRO,24.05,Oswal Greentech Limited
NSE:BILENERGY,0.6,Bil Energy Systems Limited
NSE:BINDALAGRO-BE,NaN,OSWAL CHEM & FERT-DEP SET
NSE:BIOCON-EQ,NaN,BIOCON LIMITED
NSE:BIRLACOT,NaN,Birla Cotsyn (India) Limited
NSE:BSLGOLDETF,4320,Birla Sun Life Gold ETF
NSE:BSLELFS5RG-MF,NaN,BIRLA SUN LIFE MUT EMERGING LEA
NSE:KOPDRUGS-BZ,NaN,KDL BIOTECH LIMITED
NSE:BSLCAP21RG-MF,NaN,BIRLA SUN LIFE MUT CAPITAL PR O
NSE:CELESTIAL-EQ,NaN,CELESTIAL BIOLABS LIMITED
NSE:BSLFTPLVDG-MF,NaN,BIRLA SUN LIFE MUT FTP LV 1099D
NSE:BILPOWER-BE,NaN,BILPOWER LTD INR10(DEMAT)
NSE:BILPOWER-EQ,NaN,BILPOWER LIMITED
NSE:PANACEABIO,270.25,Panacea Biotec Limited
NSE:BSLFEFS2RG-MF,NaN,BIRLA SUN LIFE MUT FOCUSED EQ 2
NSE:NATHBIOGEN-BE,NaN,Nath Bio-Genes (I) Ltd
NSE:SHARONBIO,NaN,Sharon Bio-Medicine Ltd.
NSE:BIRLAMONEY-EQ,NaN,ADITYA BIRLA MONEY INR1
NSE:HESTERBIO-EQ,NaN,HESTER BIOSCIENCES INR10
NSE:BILPOWER,NaN,Bilpower Limited
NSE:BIRLAERIC-BE,NaN,BIRLA ERICSON LTD.
NSE:STERLINBIO-EQ,NaN,STERLING BIOTECH INR1
NSE:BINANIIND,NaN,Edayar Zinc Limited
NSE:GUFICBIO,194.85,Gufic Biosciences Limited
NSE:BIRLACORPN,1415.85,Birla Corporation Limited
NSE:HESTERBIO,2546.8,Hester Biosciences Limited
NSE:BANKBARODA-IL,NaN,BK OF BARODA INR2
NSE:PENPEBS-BE,NaN,Pennar Eng Bldg Sys Ltd
NSE:BLBLIMITED-EQ,NaN,BLB INR1
NSE:BLBLIMITED,12.35,BLB Limited
NSE:PHILIPCARB,249.55,Phillips Carbon Black Limited
NSE:BLUEDART,6483.5,Blue Dart Express Limited
NSE:BLUECOAST,5.9,Blue Coast Hotels Limited
NSE:BLUEBLENDS,NaN,BLUE BLENDS (INDIA INR10
NSE:BLISSGVS,111.55,Bliss Gvs Pharma Limited
NSE:BLUESTINFO-EQ,NaN,BLUE STAR INFOTECH LIMITED
NSE:BLUECHIP,0.45,Blue Chip India Limited
NSE:BLUECHIP-BE,NaN,BLUE CHIP INDIA LTD.
NSE:BLUECOAST-BE,NaN,BLUE COAST HOTELS INR10
NSE:PHILIPCARB-EQ,NaN,PHILLIPS CARBON BLACK LIMITED
NSE:BLUEBLENDS-EQ,NaN,BLUE BLENDS (INDIA INR10
NSE:BLUEBLENDS-BE,NaN,BLUE BLENDS (I) LTD
NSE:BLUESTARCO,915.95,Blue Star Limited
NSE:BLUESTINFO,NaN,Blue Star Infotech Ltd.
NSE:BLUECOAST-EQ,NaN,BLUE COAST HOTELS INR10
NSE:NIFTYBEES-EQ,NaN,NIFTY BMARK EXCH. TRD FND
NSE:GEOJITBNPP,NaN,Geojit Financial Services Limited
NSE:GEOJITBNPP-EQ,NaN,GEOJIT BNP PARIBAS INR1
NSE:BNPCPGII-MF,NaN,BNP PARIBAS MF CAPITAL PRT ORIE
NSE:BODALCHEM,141,Bodal Chemicals Limited
NSE:BODALCHEM-EQ,NaN,BODAL CHEMICALS INR2.00
NSE:BOSCHLTD-EQ,NaN,BOSCH LIMITED
NSE:GENUSPAPER-EQ,NaN,GENUS PAPER AND BO INR10
NSE:BOMDYEING,102.6,The Bombay Dyeing and Manufacturing Company Limited
NSE:BOMDYEING-EQ,NaN,BOMBAY DYEING & MFG COMPANY LIM
NSE:GENUSPAPER,13,Genus Paper & Boards Limited
NSE:CEBBCO,34.25,Commercial Engineers & Body Builders Co Limited
NSE:BODHTREE-BE,NaN,BODHTREE-BE.NS
NSE:BRFL,7.3,Bombay Rayon Fashions Limited
NSE:CEBBCO-EQ,NaN,COMMERCIAL ENGINEERS & BODY BUI
NSE:BPL,137.15,BPL Limited
NSE:BPL-EQ,NaN,BPL LIMITED
NSE:DBSTOCKBRO,18.1,DB (International) Stock Brokers Ltd
NSE:UBL,1702,United Breweries Limited
NSE:SUNDRMBRAK,417.2,Sundaram Brake Linings Limited
NSE:BROADCAST,NaN,Broadcast Initiatives Limited
NSE:KIRLOSBROS,400,Kirloskar Brothers Limited
