,Symbol,Price,PrevDayClose,ChangeInPercentage
189,NSE:SSWL,1855.0,1823.05,1.75
190,NSE:WONDERLA,248.1,246.35,0.71
191,NSE:XCHANGING,113.7,115.95,-1.94
192,NSE:HINDZINC,390.15,346.7,12.53
193,NSE:ZENITHEXPO,93.35,94.0,-0.69
194,NSE:TBZ,90.4,87.8,2.96
195,NSE:ZEEL,315.5,319.85,-1.36
196,NSE:ZUARIGLOB,137.5,136.9,0.44
197,NSE:ZEEMEDIA,13.0,13.25,-1.89
198,NSE:ZUARI,125.7,123.75,1.58
199,NSE:ZEELEARN,14.35,14.35,0.0
200,NSE:ZENTEC,230.5,226.55,1.74
201,NSE:ZENSARTECH,512.5,508.35,0.82
202,NSE:ZODIACLOTH,118.75,118.2,0.47
203,NSE:ZICOM,1.6,1.55,3.23
204,NSE:AARVEEDEN,27.05,27.05,0.0
205,NSE:AARTIIND,1117.5,1107.45,0.91
206,NSE:AARTIDRUGS,629.0,624.6,0.7
207,NSE:ABB,1852.45,1819.0,1.84
208,NSE:ABFRL,272.45,264.25,3.1
209,NSE:ORIENTABRA,30.35,29.95,1.34
210,NSE:ABBOTINDIA,21532.45,21551.55,-0.09
211,NSE:IMPAL,792.0,788.25,0.48
212,NSE:ACCELYA,1399.9,1405.25,-0.38
213,NSE:ACE,266.1,260.2,2.27
214,NSE:TREEHOUSE,9.25,9.3,-0.54
215,NSE:ACC,2303.7,2309.85,-0.27
216,NSE:VARDHACRLC,69.5,66.8,4.04
217,NSE:ADSL,89.6,89.8,-0.22
218,NSE:ADANITRANS,1725.45,1687.3,2.26
219,NSE:ADANIENT,1627.15,1646.35,-1.17
220,NSE:ADVANIHOTR,83.75,83.35,0.48
221,NSE:ONELIFECAP,18.85,18.8,0.27
222,NSE:PRESSMN,29.6,29.15,1.54
223,NSE:ADORWELD,713.0,713.1,-0.01
224,NSE:BIRLAMONEY,66.4,66.1,0.45
225,NSE:ADANIPOWER,123.2,112.0,10.0
226,NSE:SPARC,301.15,293.7,2.54
227,NSE:AEGISCHEM,228.75,227.2,0.68
228,NSE:ARIES,152.0,151.2,0.53
229,NSE:IFBAGRO,703.8,702.05,0.25
230,NSE:ATFL,1048.95,1040.2,0.84
231,NSE:AGCNET,997.4,995.4,0.2
232,NSE:AGRITECH,73.0,75.25,-2.99
233,NSE:AGARIND,372.35,368.55,1.03
234,NSE:GOKULAGRO,43.3,43.0,0.7
235,NSE:HATSUN,1470.85,1457.65,0.91
236,NSE:DHANUKA,827.6,825.1,0.3
237,NSE:NATNLSTEEL,5.5,5.25,4.76
238,NSE:AHLWEST,278.8,276.55,0.81
239,NSE:AHLUCONT,360.0,358.2,0.5
240,NSE:AHLEAST,189.25,188.7,0.29
241,NSE:AIAENG,1916.7,1887.2,1.56
242,NSE:JETAIRWAYS,100.0,99.55,0.45
243,NSE:AJMERA,356.0,350.75,1.5
244,NSE:AJANTPHARM,2205.95,2215.45,-0.43
245,NSE:AKZOINDIA,2214.4,2221.15,-0.3
246,NSE:AKSHOPTFBR,9.1,8.7,4.6
247,NSE:ALLSEC,477.4,466.55,2.33
248,NSE:ALKEM,3883.0,3892.7,-0.25
249,NSE:GUJALKALI,816.15,823.55,-0.9
250,NSE:IMFA,799.8,761.75,5.0
251,NSE:SALSTEEL,9.95,10.0,-0.5
252,NSE:ALICON,807.8,770.8,4.8
253,NSE:APLLTD,811.0,806.6,0.55
254,NSE:SHAHALLOYS,33.9,35.0,-3.14
255,NSE:ALKALI,94.0,98.9,-4.95
256,NSE:ALANKIT,17.7,17.45,1.43
257,NSE:ALEMBICLTD,113.75,113.4,0.31
258,NSE:NATIONALUM,119.35,107.6,10.92
259,NSE:ALLCARGO,282.1,288.25,-2.13
260,NSE:MAITHANALL,1125.55,1105.0,1.86
261,NSE:GAL,2.4,2.35,2.13
262,NSE:ALPA,53.95,54.7,-1.37
263,NSE:MANAKALUCO,20.7,19.9,4.02
264,NSE:MAANALU,143.0,136.2,4.99
265,NSE:ALCHEM,3.15,3.3,-4.55
266,NSE:ALPSINDUS,3.75,3.9,-3.85
267,NSE:ALKYLAMINE,4032.65,3974.45,1.46
268,NSE:ALPHAGEO,438.95,432.0,1.61
269,NSE:GAEL,179.45,177.45,1.13
270,NSE:BANARISUG,2380.0,2381.85,-0.08
271,NSE:AMBIKCO,1984.55,1980.0,0.23
272,NSE:BASML,61.5,62.1,-0.97
273,NSE:AMBUJACEM,411.7,408.75,0.72
274,NSE:AMDIND,33.85,30.8,9.9
275,NSE:AMRUTANJAN,957.7,907.65,5.51
276,NSE:BALAMINES,4505.0,4464.7,0.9
277,NSE:AMARAJABAT,749.8,760.15,-1.36
278,NSE:MRPL,52.25,52.0,0.48
279,NSE:LOTUSEYE,43.75,44.6,-1.91
280,NSE:IOLCP,611.05,608.55,0.41
281,NSE:ANSALAPI,10.75,10.55,1.9
282,NSE:ANIKINDS,22.3,21.95,1.59
283,NSE:ANANTRAJ,73.7,73.2,0.68
284,NSE:DALMIASUG,455.8,454.15,0.36
285,NSE:ANDHRACEMT,16.4,15.65,4.79
