Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
NSE:CHOLAFIN,Cholamandalam Investment and Finance Company Limited,603.65,594,1.62,2424019
NSE:CADILAHC,Cadila Healthcare Limited,535.05,544.1,-1.66,1135571
NSE:TORNTPHARM,Torrent Pharmaceuticals Limited,3105.9,3130.4,-0.78,63785
NSE:COLPAL,Colgate Palmolive (India) Limited,1670,1681.2,-0.67,195096
NSE:HONAUT,Honeywell Automation India Limited,43500,44648.7,-2.57,2822
NSE:APOLLOHOSP,Apollo Hospitals Enterprise Limited,4349,4328.4,0.48,283237
NSE:BOSCHLTD,Bosch Limited,17655,17863.85,-1.17,21649
NSE:IDBI,IDBI Bank Limited,60.15,62.5,-3.76,41027560
NSE:PGHH,Procter & Gamble Hygiene and Health Care Limited,14020.6,13789.3,1.68,5613
NSE:GLAND,Gland Pharma Limited,3767.4,3780.5,-0.35,59750
NSE:MCDOWELL-N,United Spirits Limited,883.75,888.6,-0.55,1328429
NSE:NMDC,NMDC Limited,158.7,153.55,3.35,19313787
NSE:PEL,Piramal Enterprises Limited,2837.3,2835.75,0.05,385383
NSE:GODREJPROP,Godrej Properties Limited,2524.3,2502.75,0.86,1032069
NSE:YESBANK,Yes Bank Limited,14,13.2,6.06,291584646
NSE:JUBLFOOD,Jubilant Foodworks Limited,4369.5,4409.6,-0.91,443568
NSE:PNB,Punjab National Bank,46.45,42.55,9.17,356337805
NSE:AUBANK,AU Small Finance Bank Limited,1221.05,1192.7,2.38,949695
NSE:BANKBARODA,Bank of Baroda,92.4,88.75,4.11,82348051
NSE:GUJGASLTD,Gujarat Gas Limited,656.25,628.8,4.37,2814749
NSE:BAJAJHLDNG,Bajaj Holdings & Investment Limited,4769.15,4745.65,0.5,21487
NSE:CONCOR,Container Corporation of India Limited,684.85,677.35,1.11,1049060
NSE:SRTRANSFIN,Shriram Transport Finance Company Limited,1400.9,1383.55,1.25,957775
NSE:IGL,Indraprastha Gas Limited,507.95,509.8,-0.36,2830164
NSE:ACC,ACC Limited,2330,2309.85,0.87,509702
NSE:JINDALSTEL,Jindal Steel & Power Limited,457,446.5,2.35,9170648
NSE:GICRE,General Insurance Corporation of India,147,148,-0.68,693344
NSE:MRF,MRF Limited,84478.7,85166.45,-0.81,17863
NSE:HINDPETRO,Hindustan Petroleum Corporation Limited,334.2,331.35,0.86,3017019
NSE:MINDTREE,MindTree Limited,4702.5,4691.2,0.24,1029763
NSE:3MINDIA,3M India Limited,25919,26013.1,-0.36,1953
NSE:PIIND,PI Industries Limited,3349.4,3314.25,1.06,293572
NSE:PAGEIND,Page Industries Limited,37432.5,37370.3,0.17,18065
NSE:PETRONET,Petronet LNG Limited,234.85,230.5,1.89,3809480
NSE:ASHOKLEY,Ashok Leyland Limited,144.45,144.75,-0.21,26031270
NSE:HAL,Hindustan Aeronautics Limited,1485.6,1443.75,2.9,3402799
NSE:MPHASIS,MphasiS Limited,3373.85,3266.6,3.28,961824
NSE:VOLTAS,Voltas Limited,1336.6,1324.9,0.88,889598
NSE:ALKEM,Alkem Laboratories Limited,3862.85,3892.7,-0.77,122298
NSE:TATAPOWER,Tata Power Company Limited,257.25,222.6,15.57,242615905
NSE:UBL,United Breweries Limited,1677.7,1709.35,-1.85,308339
NSE:ADANIPOWER,Adani Power Limited,123.2,112,10,7705626
NSE:BALKRISIND,Balkrishna Industries Limited,2628.1,2596,1.24,213266
NSE:SAIL,Steel Authority of India Limited,130.25,124.2,4.87,88343626
NSE:ASTRAL,Astral Poly Technik Limited,2383.9,2338.3,1.95,393608
NSE:KANSAINER,Kansai Nerolac Paints Limited,607.05,607.2,-0.02,248058
NSE:SRF,SRF Limited,2339.2,2410.9,-2.97,800038
NSE:IDFCFIRSTB,IDFC First Bank Limited,51.5,49.4,4.25,49816606
NSE:BEL,Bharat Electronics Limited,218.05,210.55,3.56,11385137
NSE:TATACOMM,Tata Communications Limited,1462.75,1440,1.58,540146
NSE:PFC,Power Finance Corporation Limited,151.4,148.95,1.64,12262687
NSE:IRFC,Indian Railway Finance Corporation Limited,24.4,23.6,3.39,29846008
NSE:ABB,ABB India Limited,1834.1,1819,0.83,75334
NSE:DALBHARAT,Dalmia Bharat Limited,2092.55,2062.85,1.44,414682
NSE:MFSL,Max Financial Services Limited,1003.5,988.25,1.54,395865
NSE:VBL,Varun Beverages Limited,901,898.05,0.33,320715
NSE:ABCAPITAL,Aditya Birla Capital Limited,107.3,107.6,-0.28,1838364
NSE:SUNDARMFIN,Sundaram Finance Limited,2464.55,2454.65,0.4,28230
NSE:WHIRLPOOL,Whirlpool of India Limited,2436,2445.65,-0.39,64534
NSE:IRCTC,Indian Railway Catering And Tourism Corporation Limited,5721,5463.55,4.71,5117555
NSE:LTTS,L&T Technology Services Limited,4845,4817.05,0.58,260383
NSE:TVSMOTOR,TVS Motor Company Limited,588.5,583.8,0.81,1418140
NSE:BHARATFORG,Bharat Forge Limited,799,801,-0.25,1390256
NSE:OFSS,Oracle Financial Services Software Limited,4733,4777.7,-0.94,74976
NSE:TRENT,Trent Limited,1160.2,1154.45,0.5,452463
NSE:IDEA,Vodafone Idea Limited,10.65,10.75,-0.93,97666526
NSE:IOB,Indian Overseas Bank,22.95,22.7,1.1,8767531
NSE:SUPREMEIND,Supreme Industries Limited,2625.5,2578.2,1.83,57599
NSE:RECLTD,REC Limited,165.65,164.75,0.55,6862416
NSE:CUMMINSIND,Cummins India Limited,916.65,903.15,1.49,987607
NSE:NIACL,The New India Assurance Company Limited,164.55,163.9,0.4,284335
NSE:CANBK,Canara Bank,201.85,193.55,4.29,31010676
