,Symbol,Company Name,Price,PrevDayClose,ChangeInPercentage,volumn
197,NSE:SCHAEFFLER,Schaeffler India Limited,7934.8,7795.15,1.79,18881.0
198,NSE:BHEL,Bharat Heavy Electricals Limited,75.4,74.35,1.41,52140530.0
199,NSE:SUNDRMFAST,Sundram Fasteners Limited,937.0,939.75,-0.29,43332.0
200,NSE:TATAELXSI,Tata Elxsi Limited,6291.95,6259.95,0.51,150392.0
201,NSE:THERMAX,Thermax Limited,1392.55,1387.7,0.35,16539.0
202,NSE:HATSUN,Hatsun Agro Product Limited,1481.9,1457.65,1.66,84002.0
203,NSE:EXIDEIND,Exide Industries Limited,187.0,186.0,0.54,2866725.0
204,NSE:AJANTPHARM,Ajanta Pharma Limited,2191.75,2215.45,-1.07,43621.0
205,NSE:GSPL,Gujarat State Petronet Limited,328.05,318.25,3.08,659078.0
206,NSE:LINDEINDIA,Linde India Limited,2588.8,2608.4,-0.75,34818.0
207,NSE:FEDERALBNK,The Federal Bank Limited,95.0,93.1,2.04,24232388.0
208,NSE:NATCOPHARM,Natco Pharma Limited,892.25,889.85,0.27,141606.0
209,NSE:FORTIS,Fortis Healthcare Limited,265.55,274.45,-3.24,1864621.0
210,NSE:KAJARIACER,Kajaria Ceramics Limited,1327.0,1303.7,1.79,219976.0
211,NSE:MINDAIND,Minda Industries Limited,774.85,793.45,-2.34,128658.0
212,NSE:PERSISTENT,Persistent Systems Limited,4191.9,4212.0,-0.48,189881.0
213,NSE:GMRINFRA,GMR Infrastructure Limited,43.05,43.4,-0.81,15007699.0
214,NSE:AMARAJABAT,Amara Raja Batteries Limited,728.75,760.15,-4.13,2342656.0
215,NSE:SUMICHEM,Sumitomo Chemical India Limited,412.65,418.7,-1.44,374587.0
216,NSE:JSWENERGY,JSW Energy Limited,392.0,394.0,-0.51,1146132.0
217,NSE:VINATIORGA,Vinati Organics Limited,2067.0,2077.75,-0.52,44156.0
218,NSE:APOLLOTYRE,Apollo Tyres Limited,245.55,239.8,2.4,7366137.0
219,NSE:RAJESHEXPO,Rajesh Exports Limited,635.7,646.6,-1.69,214793.0
220,NSE:AFFLE,Affle (India) Limited,1156.55,1176.6,-1.7,289701.0
221,NSE:MAHABANK,Bank of Maharashtra,21.85,21.1,3.55,10646632.0
222,NSE:NAVINFLUOR,Navin Fluorine International Limited,3901.5,3934.25,-0.83,153569.0
223,NSE:PHOENIXLTD,The Phoenix Mills Limited,980.0,977.65,0.24,89419.0
224,NSE:CRISIL,CRISIL Limited,2987.5,2978.9,0.29,28298.0
225,NSE:OIL,Oil India Limited,238.0,235.2,1.19,1170608.0
226,NSE:BLUEDART,Blue Dart Express Limited,6501.6,6508.6,-0.11,7579.0
227,NSE:INDHOTEL,The Indian Hotels Company Limited,231.75,229.55,0.96,8436651.0
228,NSE:GLENMARK,Glenmark Pharmaceuticals Limited,521.05,524.8,-0.71,949252.0
229,NSE:INDIANB,Indian Bank,171.15,164.5,4.04,8201105.0
230,NSE:SUVENPHAR,Suven Pharmaceuticals Limited,529.65,539.45,-1.82,157461.0
231,NSE:MANAPPURAM,Manappuram Finance Limited,197.35,195.3,1.05,3104428.0
232,NSE:ZYDUSWELL,Zydus Wellness Limited,2304.05,2314.15,-0.44,57834.0
233,NSE:VAIBHAVGBL,Vaibhav Global Limited,725.55,714.35,1.57,112884.0
234,NSE:WABCOINDIA,WABCO India Limited,7890.95,7486.85,5.4,45769.0
235,NSE:RBLBANK,RBL Bank Limited,197.95,191.65,3.29,13507551.0
236,NSE:CASTROLIND,Castrol India Limited,145.2,146.75,-1.06,1410844.0
237,NSE:ISEC,ICICI Securities Limited,853.6,878.5,-2.83,531906.0
238,NSE:PRESTIGE,Prestige Estates Projects Limited,456.15,453.55,0.57,534458.0
239,NSE:ALKYLAMINE,Alkyl Amines Chemicals Limited,3996.75,3974.45,0.56,40537.0
240,NSE:SOLARINDS,Solar Industries India Limited,2693.1,2532.45,6.34,118527.0
241,NSE:MGL,Mahanagar Gas Limited,1071.85,1067.05,0.45,413124.0
242,NSE:CUB,City Union Bank Limited,172.1,171.35,0.44,2028960.0
243,NSE:METROPOLIS,Metropolis Healthcare Limited,2714.75,2642.85,2.72,223753.0
244,NSE:INDIGOPNTS,Indigo Paints Limited,2497.45,2508.0,-0.42,15838.0
245,NSE:CHOLAHLDNG,Cholamandalam Financial Holdings Limited,713.4,723.35,-1.38,25217.0
246,NSE:BAJAJELEC,Bajaj Electricals Limited,1296.95,1274.95,1.73,293532.0
247,NSE:AMBER,Amber Enterprises India Limited,3671.95,3651.7,0.55,33607.0
248,NSE:SKFINDIA,SKF India Limited,3270.1,3280.85,-0.33,24862.0
249,NSE:TANLA,Tanla Platforms Limited,948.9,922.45,2.87,191510.0
250,NSE:HINDCOPPER,Hindustan Copper Limited,149.65,132.35,13.07,29608323.0
251,NSE:UCOBANK,UCO Bank,14.65,14.3,2.45,13774116.0
252,NSE:IIFLWAM,Iifl Wealth Management Limited,1700.0,1649.35,3.07,92901.0
253,NSE:JUBLPHARMA,Jubilant Pharmova Limited,636.55,625.15,1.82,171346.0
254,NSE:VGUARD,V-Guard Industries Limited,262.55,262.9,-0.13,247865.0
255,NSE:ITI,ITI Limited,126.8,128.0,-0.98,784004.0
256,NSE:IIFL,IIFL Finance Limited,294.0,294.6,-0.2,256923.0
257,NSE:KEC,KEC International Limited,458.95,459.7,-0.16,131828.0
258,NSE:GRINDWELL,Grindwell Norton Limited,1570.75,1466.95,7.08,219008.0
259,NSE:AEGISCHEM,Aegis Logistics Limited,227.65,227.2,0.2,407180.0
260,NSE:AKZOINDIA,Akzo Nobel India Limited,2199.35,2221.15,-0.98,17386.0
261,NSE:CREDITACC,CREDITACCESS GRAMEEN LIMITED,676.0,673.4,0.39,304263.0
262,NSE:QUESS,Quess Corp Limited,926.95,926.7,0.03,56767.0
263,NSE:PGHL,Procter & Gamble Health Limited,5569.8,5636.9,-1.19,10523.0
264,NSE:SJVN,SJVN Limited,32.15,28.35,13.58,35533542.0
265,NSE:NATIONALUM,National Aluminium Company Limited,122.95,107.6,14.27,161211078.0
266,NSE:GODREJAGRO,Godrej Agrovet Limited,635.8,637.2,-0.22,66331.0
267,NSE:TTKPRESTIG,TTK Prestige Limited,8820.4,8805.4,0.17,4414.0
268,NSE:ALOKINDS,Alok Industries Limited,27.05,26.1,3.64,27770785.0
269,NSE:GRAPHITE,Graphite India Limited,620.45,602.0,3.06,1308682.0
270,NSE:IEX,Indian Energy Exchange Limited,795.45,793.1,0.3,6502522.0
271,NSE:INTELLECT,Intellect Design Arena Limited,711.6,706.3,0.75,234129.0
273,NSE:TIMKEN,Timken India Limited,1812.7,1843.6,-1.68,17800.0
274,NSE:JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,1797.2,1799.85,-0.15,516152.0
275,NSE:CARBORUNIV,Carborundum Universal Limited,900.0,883.1,1.91,104844.0
276,NSE:SFL,Sheela Foam Limited,2434.75,2460.35,-1.04,20882.0
277,NSE:CENTRALBK,Central Bank of India,23.65,23.2,1.94,8364582.0
278,NSE:CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,383.75,383.35,0.1,581085.0
279,NSE:MOTILALOFS,Motilal Oswal Financial Services Limited,909.05,906.55,0.28,208249.0
280,NSE:IBULHSGFIN,Indiabulls Housing Finance Limited,247.75,237.5,4.32,12752358.0
281,NSE:GALAXYSURF,Galaxy Surfactants Limited,3419.9,3404.45,0.45,18124.0
282,NSE:SHRIRAMCIT,Shriram City Union Finance Limited,2246.0,2188.75,2.62,44011.0
283,NSE:BLUESTARCO,Blue Star Limited,921.0,914.85,0.67,47562.0
284,NSE:BASF,BASF India Limited,3648.4,3587.75,1.69,131637.0
285,NSE:CGPOWER,CG Power and Industrial Solutions Limited,124.15,118.25,4.99,522045.0
286,NSE:RATNAMANI,Ratnamani Metals & Tubes Limited,2222.0,2211.35,0.48,9470.0
287,NSE:DHANI,Dhani Services Limited,213.15,192.45,10.76,9911165.0
288,NSE:SYMPHONY,Symphony Limited,1090.0,1072.4,1.64,59901.0
289,NSE:HUDCO,Housing & Urban Development Corporation Limited,45.65,44.85,1.78,7043301.0
290,NSE:KIOCL,KIOCL Limited,294.9,285.4,3.33,167856.0
291,NSE:NBCC,NBCC (India) Limited,49.4,48.45,1.96,9979592.0
292,NSE:NH,Narayana Hrudayalaya Ltd.,525.35,514.8,2.05,108263.0
293,NSE:ERIS,Eris Lifesciences Limited,829.4,818.4,1.34,250625.0
294,NSE:CANFINHOME,Can Fin Homes Limited,705.0,699.5,0.79,1108342.0
295,NSE:ROUTE,ROUTE MOBILE LIMITED,2255.0,2223.1,1.43,245803.0
296,NSE:WELSPUNIND,Welspun India Limited,160.0,160.9,-0.56,1456553.0
297,NSE:JMFINANCIL,JM Financial Limited,94.75,93.95,0.85,1841197.0
298,NSE:DBL,Dilip Buildcon Limited,688.0,696.1,-1.16,479767.0
299,NSE:HAPPSTMNDS,Happiest Minds Technologies Limited,1418.0,1410.3,0.55,150447.0
300,NSE:FSL,Firstsource Solutions Limited,215.55,217.6,-0.94,3789085.0
301,NSE:FINPIPE,Finolex Industries Limited,229.9,228.3,0.7,451062.0
302,NSE:POLYMED,Poly Medicure Limited,969.6,992.55,-2.31,119098.0
303,NSE:CESC,CESC Limited,95.25,93.75,1.6,4720757.0
304,NSE:DCMSHRIRAM,DCM Shriram Limited,1188.5,1191.1,-0.22,71245.0
305,NSE:BBTC,Bombay Burmah Trading Corporation Limited,1152.85,1153.6,-0.07,44378.0
306,NSE:STLTECH,Sterlite Technologies Limited,281.7,282.6,-0.32,760960.0
307,NSE:STAR,Strides Pharma Science Limited,581.95,592.65,-1.81,537776.0
308,NSE:IDFC,IDFC Limited,55.3,54.2,2.03,5859409.0
309,NSE:ASAHIINDIA,Asahi India Glass Limited,383.95,370.75,3.56,233256.0
310,NSE:ASTRAZEN,AstraZeneca Pharma India Limited,3110.0,3150.95,-1.3,12940.0
311,NSE:GRANULES,Granules India Limited,326.3,328.4,-0.64,1287186.0
312,NSE:RADICO,Radico Khaitan Limited,1119.9,1095.3,2.25,371503.0
313,NSE:VTL,Vardhman Textiles Limited,2047.0,2033.05,0.69,48762.0
314,NSE:EPL,EPL Limited,229.85,231.95,-0.91,953539.0
315,NSE:PVR,PVR Limited,1723.0,1713.8,0.54,540382.0
316,NSE:REDINGTON,Redington (India) Limited,151.05,153.25,-1.44,2480098.0
