,Symbol,Price,Company name
305,NSE:TBZ,89.5,Tribhovandas Bhimji Zaveri Limited
306,NSE:ZEEL,316.45,Zee Entertainment Enterprises Limited
307,NSE:ZUARIGLOB,136.05,Zuari Global Limited
310,NSE:ZEEMEDIA,13.0,Zee Media Corporation Limited
312,NSE:ZUARI,125.1,Zuari Agro Chemicals Limited
313,NSE:ZEELEARN,14.3,Zee Learn Limited
314,NSE:ZENTEC,226.2,Zen Technologies Limited
319,NSE:ZENSARTECH,513.85,Zensar Technologies Limited
321,NSE:ZODIACLOTH,119.0,Zodiac Clothing Company Limited
323,NSE:ZICOM,1.6,Zicom Electronic Security Systems Limited
324,NSE:AARVEEDEN,27.1,Aarvee Denims and Exports Limited
327,NSE:AARTIIND,1110.6,Aarti Industries Limited
328,NSE:AARTIDRUGS,630.65,Aarti Drugs Limited
329,NSE:ABB,1852.0,ABB India Limited
332,NSE:ABFRL,267.9,Aditya Birla Fashion and Retail Limited
336,NSE:ORIENTABRA,30.25,Orient Abrasives Limited
339,NSE:ABBOTINDIA,21584.05,Abbott India Limited
341,NSE:IMPAL,792.0,India Motor Parts and Accessories Limited
343,NSE:ACCELYA,1409.4,Accelya Kale Solutions Limited
346,NSE:ACE,261.8,Action Construction Equipment Limited
349,NSE:TREEHOUSE,9.5,Tree House Education & Accessories Limited
350,NSE:ACC,2303.25,ACC Limited
353,NSE:VARDHACRLC,69.95,Vardhman Acrylics Limited
356,NSE:ADSL,90.05,Allied Digital Services Ltd
358,NSE:ADANITRANS,1716.05,Adani Transmissions Limited
359,NSE:ADANIENT,1631.9,Adani Enterprises Limited
360,NSE:ADVANIHOTR,83.55,Advani Hotels & Resorts (India) Limited
362,NSE:ONELIFECAP,19.0,Onelife Capital Advisors Limited
366,NSE:PRESSMN,29.75,Pressman Advertising Limited
371,NSE:ADORWELD,717.0,Ador Welding Limited
373,NSE:BIRLAMONEY,66.35,Aditya Birla Money Limited
374,NSE:ADANIPOWER,123.2,Adani Power Limited
375,NSE:SPARC,300.6,Sun Pharma Advanced Research Company Limited
379,NSE:AEGISCHEM,228.95,Aegis Logistics Limited
383,NSE:ARIES,152.45,Aries Agro Limited
385,NSE:IFBAGRO,706.85,IFB Agro Industries Limited
387,NSE:ATFL,1052.9,Agro Tech Foods Limited
389,NSE:AGCNET,993.5,AGC Networks Limited
391,NSE:AGRITECH,74.0,Agri-Tech (India) Ltd
401,NSE:AGARIND,373.95,Agarwal Industrial Corporation Ltd.
404,NSE:GOKULAGRO,43.25,Gokul Agro Resources Limited
405,NSE:HATSUN,1474.6,Hatsun Agro Product Limited
406,NSE:DHANUKA,829.1,Dhanuka Agritech Limited
410,NSE:NATNLSTEEL,5.5,National Steel and Agro Industries Limited
411,NSE:AHLWEST,277.35,Asian Hotels (West) Limited
418,NSE:AHLUCONT,360.35,Ahluwalia Contracts (India) Limited
419,NSE:AHLEAST,188.7,Asian Hotels (East) Limited
423,NSE:AIAENG,1915.25,AIA Engineering Limited
425,NSE:JETAIRWAYS,99.9,Jet Airways (India) Limited
430,NSE:AJMERA,354.9,Ajmera Realty & Infra India Limited
431,NSE:AJANTPHARM,2224.05,Ajanta Pharma Limited
432,NSE:AKZOINDIA,2228.0,Akzo Nobel India Limited
434,NSE:AKSHOPTFBR,9.1,Aksh Optifibre Limited
435,NSE:ALLSEC,480.05,Allsec Technologies Limited
437,NSE:ALKEM,3898.0,Alkem Laboratories Limited
439,NSE:GUJALKALI,813.9,Gujarat Alkalies and Chemicals Limited
443,NSE:IMFA,783.0,Indian Metals and Ferro Alloys Limited
444,NSE:SALSTEEL,10.0,S.A.L. Steel Limited
445,NSE:ALICON,800.7,Alicon Castalloy Limited
450,NSE:APLLTD,811.1,Alembic Pharmaceuticals Limited
452,NSE:SHAHALLOYS,34.0,Shah Alloys Limited
455,NSE:ALKALI,94.6,Alkali Metals Limited
456,NSE:ALANKIT,17.8,Alankit Limited
458,NSE:ALEMBICLTD,113.75,Alembic Limited
459,NSE:NATIONALUM,115.4,National Aluminium Company Limited
460,NSE:ALLCARGO,283.25,Allcargo Logistics Limited
461,NSE:MAITHANALL,1121.3,Maithan Alloys Limited
462,NSE:GAL,2.4,Gyscoal Alloys Limited
464,NSE:ALPA,53.85,Alpa Laboratories Limited
467,NSE:MANAKALUCO,20.2,MANAKSIA ALUMINIUM INR1
470,NSE:MAANALU,143.0,Maan Aluminium Limited
471,NSE:ALCHEM,3.15,Alchemist Limited
476,NSE:ALPSINDUS,3.75,Alps Industries Limited
479,NSE:ALKYLAMINE,4007.75,Alkyl Amines Chemicals Limited
481,NSE:ALPHAGEO,439.15,Alphageo (India) Limited
483,NSE:GAEL,178.35,Gujarat Ambuja Exports Limited
484,NSE:BANARISUG,2367.0,Bannari Amman Sugars Limited
486,NSE:AMBIKCO,1991.1,Ambika Cotton Mills Limited
492,NSE:BASML,61.7,Bannari Amman Spinning Mills Limited
494,NSE:AMBUJACEM,412.8,Ambuja Cements Limited
496,NSE:AMDIND,33.85,AMD Industries Limited
498,NSE:AMRUTANJAN,962.4,Amrutanjan Health Care Limited
500,NSE:BALAMINES,4504.0,Balaji Amines Limited
501,NSE:AMARAJABAT,749.9,Amara Raja Batteries Limited
505,NSE:MRPL,52.25,Mangalore Refinery and Petrochemicals Limited
506,NSE:LOTUSEYE,43.65,Lotus Eye Hospital and Institute Limited
507,NSE:IOLCP,611.0,IOL Chemicals and Pharmaceuticals Limited
508,NSE:ANSALAPI,11.0,Ansal Properties & Infrastructure Limited
509,NSE:ANIKINDS,22.3,Anik Industries Limited
510,NSE:ANANTRAJ,73.1,Anant Raj Limited
516,NSE:DALMIASUG,453.0,Dalmia Bharat Sugar and Industries Limited
520,NSE:ANDHRACEMT,15.75,Andhra Cements Limited
522,NSE:SESHAPAPER,184.5,Seshasayee Paper and Boards Limited
524,NSE:RCF,83.9,Rashtriya Chemicals And Fertilizers Limited
525,NSE:TAINWALCHM,76.95,Tainwala Chemicals and Plastics (India) Limited
526,NSE:EUROTEXIND,13.55,Eurotex Industries and Exports Limited
529,NSE:MADHAV,61.05,Madhav Marbles and Granites Limited
530,NSE:ANTGRAPHIC,0.75,Antarctica Limited
531,NSE:SUTLEJTEX,68.65,Sutlej Textiles and Industries Limited
538,NSE:ANKITMETAL,3.0,Ankit Metal & Power Limited
540,NSE:BALMLAWRIE,131.65,Balmer Lawrie & Co. Limited
544,NSE:CHOLAFIN,607.1,Cholamandalam Investment and Finance Company Limited
545,NSE:VETO,118.0,Veto Switchgears and Cables Limited
546,NSE:PGHH,13921.6,Procter & Gamble Hygiene and Health Care Limited
551,NSE:SDBL,47.0,Som Distilleries & Breweries Limited
553,NSE:OISL,1.85,OCL Iron & Steel Limited
554,NSE:DEEPAKFERT,444.5,Deepak Fertilisers And Petrochemicals Corporation Limited
555,NSE:ANSALHSG,6.5,Ansal Housing & Construction Limited
562,NSE:SURANAT&P,10.5,Surana Telecom and Power Limited
564,NSE:ANDHRSUGAR,667.9,The Andhra Sugars Limited
567,NSE:CARERATING,704.9,CARE Ratings Limited
571,NSE:BLKASHYAP,29.35,B.L. Kashyap and Sons Limited
572,NSE:COX&KINGS,1.6,Cox & Kings Limited
574,NSE:TGBHOTELS,12.05,TGB Banquets And Hotels Limited
578,NSE:WELINV,321.8,Welspun Investments and Commercials Limited
579,NSE:APTECHT,307.5,Aptech Limited
580,NSE:APOLSINHOT,886.55,Apollo Sindoori Hotels Limited
581,NSE:APLAPOLLO,838.7,APL Apollo Tubes Limited
582,NSE:APARINDS,708.15,Apar Industries Limited
587,NSE:APOLLOTYRE,241.7,Apollo Tyres Limited
588,NSE:APCOTEXIND,423.75,Apcotex Industries Limited
589,NSE:APOLLOHOSP,4392.0,Apollo Hospitals Enterprise Limited
590,NSE:BUTTERFLY,998.9,Butterfly Gandhimathi Appliances Limited
593,NSE:GUJAPOLLO,213.35,Gujarat Apollo Industries Limited
599,NSE:ARSHIYA,35.6,Arshiya Limited
600,NSE:ARSSINFRA,30.7,ARSS Infrastructure Projects Limited
601,NSE:ARIHANT,26.2,Arihant Foundations & Housing Limited
602,NSE:ARCHIES,18.35,Archies Limited
603,NSE:ARCHIDPLY,32.75,Archidply Industries Limited
613,NSE:AROGRANITE,63.7,Aro Granite Industries Limited
616,NSE:INTELLECT,717.0,Intellect Design Arena Limited
617,NSE:ARCOTECH,2.2,Arcotech Limited
618,NSE:ARVIND,123.3,Arvind Limited
620,NSE:MUKTAARTS,40.95,Mukta Arts Limited
626,NSE:GILLANDERS,56.6,Gillanders Arbuthnot and Company Limited
628,NSE:ASIANPAINT,3246.05,Asian Paints Limited
629,NSE:ASTEC,1278.95,Astec LifeSciences Limited
631,NSE:ASAL,90.05,Automotive Stampings and Assemblies Limited
632,NSE:EIHAHOTELS,424.15,EIH Associated Hotels Limited
634,NSE:ASIANHOTNR,89.55,Asian Hotels (North) Limited
636,NSE:ASHAPURMIN,123.25,Ashapura Minechem Limited
637,NSE:ASTRAMICRO,208.0,Astra Microwave Products Limited
647,NSE:ASTRAZEN,3131.55,AstraZeneca Pharma India Limited
649,NSE:ASTRAL,2326.9,Astral Poly Technik Limited
650,NSE:JPASSOCIAT,10.25,Jaiprakash Associates Limited
654,NSE:INFRABEES,553.19,RELIANCE NIPPON LI RELIANCE ETF
657,NSE:ASAHISONG,352.25,Asahi Songwon Colors Limited
658,NSE:ASHIANA,187.35,Ashiana Housing Limited
664,NSE:ASHIMASYN,19.5,Ashima Limited
667,NSE:ASIANTILES,151.0,Asian Granito India Limited
673,NSE:ASAHIINDIA,386.75,Asahi India Glass Limited
675,NSE:ASHOKA,120.0,Ashoka Buildcon Limited
676,NSE:ATUL,10658.45,Atul Ltd
679,NSE:ATLASCYCLE,28.85,Atlas Cycles (Haryana) Limited
680,NSE:ATNINTER,0.2,ATN International Ltd.
681,NSE:ATULAUTO,241.1,Atul Auto Limited
682,NSE:ATLANTA,13.45,Atlanta Limited
684,NSE:BAJAJ-AUTO,3935.75,Bajaj Auto Limited
685,NSE:MUNJALAU,61.95,Munjal Auto Industries Limited
686,NSE:AUTOLITIND,15.5,Autolite (India) Limited
689,NSE:PPAP,260.4,PPAP Automotive Limited
690,NSE:LUMAXTECH,144.5,Lumax Auto Technologies Limited
692,NSE:INDIGO,2067.25,InterGlobe Aviation Limited
693,NSE:AVTNPL,89.75,AVT Natural Products Limited
695,NSE:AVANTIFEED,567.25,AVANTI FEEDS INR2
698,NSE:AXISBANK,807.05,Axis Bank Limited
700,NSE:AXISCADES,95.25,AXISCADES Engineering Technologies Limited
702,NSE:AXISGOLD,41.0,Axis Gold ETF
703,NSE:AUTOAXLES,1387.05,Automotive Axles Limited
704,NSE:AYMSYNTEX,110.2,AYM Syntex Limited
705,NSE:ICICIBANK,746.3,ICICI Bank Limited
706,NSE:CANBK,197.8,Canara Bank
707,NSE:BALLARPUR,1.25,Ballarpur Industries Limited
708,NSE:INDIANB,171.75,Indian Bank
710,NSE:HDFCBANK,1677.3,HDFC Bank Limited
712,NSE:BASF,3730.0,BASF India Limited
714,NSE:BAGFILMS,3.15,B.A.G. Films and Media Limited
717,NSE:BANKBEES,399.5,Goldman Sachs Bank BeES ETF
720,NSE:PSUBNKBEES,30.35,Goldman Sachs PSU Bank BeES ETF
722,NSE:BAJFINANCE,7878.8,Bajaj Finance Limited
724,NSE:BBL,1383.55,Bharat Bijlee Limited
727,NSE:BBTC,1152.5,"The Bombay Burmah Trading Corporation, Limited"
731,NSE:BEML,1689.9,BEML Limited
742,NSE:BEDMUTHA,54.0,Bedmutha Industries Limited
744,NSE:BERGEPAINT,836.7,Berger Paints India Limited
750,NSE:NRBBEARING,146.45,NRB Bearings Limited
753,NSE:NIBL,28.5,NRB Industrial Bearings Limited
