Symbol,Price,PrevDayClose,ChangeInPercentage
NSE:ZICOM,1.6,1.55,3.23
NSE:AARVEEDEN,27.05,27.05,0
NSE:AARTIIND,1117.5,1107.45,0.91
NSE:AARTIDRUGS,629,624.6,0.7
NSE:ABB,1852.45,1819,1.84
NSE:ABFRL,272.45,264.25,3.1
NSE:ORIENTABRA,30.35,29.95,1.34
NSE:ABBOTINDIA,21532.45,21551.55,-0.09
NSE:IMPAL,792,788.25,0.48
NSE:ACCELYA,1399.9,1405.25,-0.38
NSE:ACE,266.1,260.2,2.27
NSE:TREEHOUSE,9.25,9.3,-0.54
NSE:ACC,2303.7,2309.85,-0.27
NSE:VARDHACRLC,69.5,66.8,4.04
NSE:ADSL,89.6,89.8,-0.22
NSE:ADANITRANS,1725.45,1687.3,2.26
NSE:ADANIENT,1627.15,1646.35,-1.17
NSE:ADVANIHOTR,83.75,83.35,0.48
NSE:ONELIFECAP,18.85,18.8,0.27
NSE:PRESSMN,29.6,29.15,1.54
NSE:ADORWELD,713,713.1,-0.01
NSE:BIRLAMONEY,66.4,66.1,0.45
NSE:ADANIPOWER,123.2,112,10
NSE:SPARC,301.15,293.7,2.54
NSE:AEGISCHEM,228.75,227.2,0.68
NSE:ARIES,152,151.2,0.53
NSE:IFBAGRO,703.8,702.05,0.25
NSE:ATFL,1048.95,1040.2,0.84
NSE:AGCNET,997.4,995.4,0.2
NSE:AGRITECH,73,75.25,-2.99
NSE:AGARIND,372.35,368.55,1.03
NSE:GOKULAGRO,43.3,43,0.7
NSE:HATSUN,1470.85,1457.65,0.91
NSE:DHANUKA,827.6,825.1,0.3
NSE:NATNLSTEEL,5.5,5.25,4.76
NSE:AHLWEST,278.8,276.55,0.81
NSE:AHLUCONT,360,358.2,0.5
NSE:AHLEAST,189.25,188.7,0.29
NSE:AIAENG,1916.7,1887.2,1.56
NSE:JETAIRWAYS,100,99.55,0.45
NSE:AJMERA,356,350.75,1.5
NSE:AJANTPHARM,2205.95,2215.45,-0.43
NSE:AKZOINDIA,2214.4,2221.15,-0.3
NSE:AKSHOPTFBR,9.1,8.7,4.6
NSE:ALLSEC,477.4,466.55,2.33
NSE:ALKEM,3883,3892.7,-0.25
NSE:GUJALKALI,816.15,823.55,-0.9
NSE:IMFA,799.8,761.75,5
NSE:SALSTEEL,9.95,10,-0.5
NSE:ALICON,807.8,770.8,4.8
NSE:APLLTD,811,806.6,0.55
